iter	Passed	Remaining
0	141	141216
1	144	71856
2	146	48775
3	149	37194
4	152	30339
5	155	25825
6	158	22463
7	161	19997
8	163	18047
9	166	16483
10	169	15247
11	172	14221
12	175	13333
13	177	12531
14	180	11882
15	184	11344
16	187	10815
17	189	10334
18	192	9915
19	194	9534
20	197	9198
21	200	8900
22	202	8588
23	204	8296
24	205	8033
25	208	7798
26	209	7566
27	212	7377
28	214	7195
29	217	7022
30	219	6846
31	220	6684
32	223	6534
33	225	6407
34	228	6306
35	230	6182
36	232	6063
37	234	5942
38	236	5826
39	238	5724
40	240	5633
41	243	5562
42	245	5474
43	247	5385
44	249	5298
45	251	5225
46	254	5155
47	256	5096
48	259	5030
49	261	4965
50	263	4905
51	266	4855
52	268	4796
53	270	4738
54	272	4680
55	274	4623
56	276	4571
57	278	4519
58	281	4496
59	283	4446
60	285	4399
61	287	4351
62	289	4311
63	292	4271
64	294	4242
65	297	4212
66	299	4176
67	301	4138
68	304	4102
69	306	4067
70	307	4029
71	311	4011
72	313	3976
73	314	3938
74	316	3903
75	318	3869
76	320	3839
77	322	3806
78	323	3776
79	327	3760
80	329	3734
81	331	3709
82	332	3674
83	334	3650
84	337	3628
85	339	3605
86	342	3589
87	344	3569
88	346	3548
89	348	3522
90	350	3497
91	352	3477
92	354	3460
93	357	3445
94	359	3422
95	361	3401
96	363	3381
97	365	3362
98	367	3344
99	370	3330
100	372	3316
101	374	3296
102	376	3280
103	378	3262
104	380	3244
105	382	3228
106	385	3219
107	387	3201
108	389	3184
109	391	3166
110	393	3149
111	395	3133
112	397	3116
113	399	3101
114	401	3088
115	403	3074
116	405	3056
117	407	3042
118	409	3028
119	410	3012
120	413	3000
121	415	2991
122	417	2979
123	419	2965
124	421	2951
125	423	2936
126	424	2920
127	426	2905
128	428	2890
129	431	2888
130	433	2878
131	436	2871
132	438	2860
133	440	2849
134	442	2837
135	445	2828
136	447	2819
137	449	2808
138	451	2796
139	453	2785
140	455	2774
141	456	2759
142	458	2747
143	461	2742
144	463	2732
145	465	2721
146	467	2710
147	469	2700
148	470	2689
149	472	2679
150	474	2669
151	477	2664
152	479	2654
153	481	2643
154	482	2632
155	485	2625
156	487	2615
157	488	2605
158	491	2598
159	493	2588
160	494	2576
161	496	2566
162	498	2557
163	499	2548
164	501	2539
165	504	2532
166	506	2528
167	508	2520
168	510	2510
169	512	2500
170	513	2491
171	515	2482
172	517	2473
173	519	2465
174	522	2460
175	523	2453
176	525	2444
177	527	2436
178	529	2427
179	531	2419
180	532	2411
181	534	2404
182	537	2401
183	539	2394
184	541	2385
185	543	2377
186	545	2369
187	546	2362
188	548	2354
189	551	2351
190	554	2346
191	555	2339
192	557	2330
193	559	2322
194	560	2315
195	562	2307
196	564	2300
197	567	2297
198	569	2291
199	570	2283
200	572	2276
201	574	2269
202	575	2261
203	577	2253
204	579	2246
205	582	2245
206	584	2240
207	586	2233
208	588	2226
209	590	2219
210	591	2213
211	593	2206
212	595	2199
213	598	2197
214	600	2191
215	601	2184
216	603	2177
217	605	2171
218	607	2164
219	608	2158
220	610	2152
221	614	2153
222	616	2146
223	617	2140
224	619	2133
225	621	2127
226	623	2121
227	624	2115
228	627	2113
229	629	2108
230	631	2103
231	633	2097
232	635	2091
233	636	2084
234	638	2079
235	640	2073
236	643	2071
237	645	2066
238	647	2060
239	648	2054
240	650	2048
241	652	2042
242	653	2037
243	655	2031
244	658	2028
245	660	2023
246	661	2017
247	663	2011
248	665	2006
249	666	2000
250	668	1994
251	670	1989
252	672	1985
253	674	1981
254	676	1976
255	678	1971
256	680	1966
257	681	1960
258	683	1955
259	685	1949
260	687	1945
261	690	1943
262	691	1939
263	693	1933
264	695	1928
265	696	1923
266	698	1917
267	700	1912
268	702	1908
269	704	1904
270	706	1899
271	707	1894
272	709	1890
